크로스워크,학제,수요,대졸직종_배출%,대졸직종_수요%,ρ,격차_경영·사무·금융·보험,격차_연구·공학기술,격차_교육·법률·사회복지·경찰·소방,격차_보건·의료,격차_예술·디자인·방송·스포츠,격차_미용·여행·숙박·음식·경비·돌봄·청소,격차_영업·판매·운전·운송,격차_건설·채굴,격차_설치·정비·생산,격차_농림어업,배율
언어→2 / 인문→0 / 생활→3,4년제만,공공(고용24),49.473,13.723,-0.624,14.093,19.222,7.877,8.65,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.605
언어→2 / 인문→0 / 생활→3,4년제만,민간(크롤링),49.473,28.254,-0.624,1.201,13.415,9.753,-1.949,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.751
언어→2 / 인문→0 / 생활→3,전문대만,공공(고용24),57.662,13.723,-0.794,4.469,8.639,2.892,32.408,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,4.202
언어→2 / 인문→0 / 생활→3,전문대만,민간(크롤링),57.662,28.254,-0.794,-8.423,2.832,4.767,21.808,13.106,-15.943,-9.574,0.04,-8.557,-0.056,2.041
언어→2 / 인문→0 / 생활→5,전체,공공(고용24),48.295,13.723,-0.539,11.759,16.713,7.6,10.259,11.292,-41.438,-2.403,-1.458,-11.483,-0.842,3.519
언어→2 / 인문→0 / 생활→5,전체,민간(크롤링),48.295,28.254,-0.539,-1.132,10.906,9.476,-0.341,8.569,-12.508,-7.292,0.784,-8.617,0.156,1.709
언어→2 / 인문→0 / 생활→5,4년제만,공공(고용24),46.952,13.723,-0.564,14.093,19.222,7.877,6.129,10.168,-42.352,-1.715,-1.236,-11.41,-0.777,3.421
언어→2 / 인문→0 / 생활→5,4년제만,민간(크롤링),46.952,28.254,-0.564,1.201,13.415,9.753,-4.47,7.445,-13.422,-6.605,1.006,-8.544,0.221,1.662
언어→2 / 인문→0 / 생활→5,전문대만,공공(고용24),50.814,13.723,-0.661,4.469,8.639,2.892,25.561,15.829,-38.026,-4.685,-2.202,-11.422,-1.054,3.703
언어→2 / 인문→0 / 생활→5,전문대만,민간(크롤링),50.814,28.254,-0.661,-8.423,2.832,4.767,14.961,13.106,-9.095,-9.574,0.04,-8.557,-0.056,1.798
언어→2 / 인문→2 / 생활→0,전체,공공(고용24),51.648,13.723,-0.624,11.842,16.713,10.953,10.259,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.764
언어→2 / 인문→2 / 생활→0,전체,민간(크롤링),51.648,28.254,-0.624,-1.05,10.906,12.829,-0.341,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.828
언어→2 / 인문→2 / 생활→0,4년제만,공공(고용24),50.956,13.723,-0.648,12.61,19.222,11.881,6.129,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.713
언어→2 / 인문→2 / 생활→0,4년제만,민간(크롤링),50.956,28.254,-0.648,-0.282,13.415,13.757,-4.47,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.803
언어→2 / 인문→2 / 생활→0,전문대만,공공(고용24),51.993,13.723,-0.758,10.137,8.639,4.071,25.561,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,3.789
언어→2 / 인문→2 / 생활→0,전문대만,민간(크롤링),51.993,28.254,-0.758,-2.755,2.832,5.947,14.961,13.106,-15.943,-9.574,0.04,-8.557,-0.056,1.84
언어→2 / 인문→2 / 생활→3,전체,공공(고용24),55.083,13.723,-0.624,8.406,16.713,10.953,13.694,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,4.014
언어→2 / 인문→2 / 생활→3,전체,민간(크롤링),55.083,28.254,-0.624,-4.485,10.906,12.829,3.095,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.95
언어→2 / 인문→2 / 생활→3,4년제만,공공(고용24),53.477,13.723,-0.648,10.089,19.222,11.881,8.65,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.897
언어→2 / 인문→2 / 생활→3,4년제만,민간(크롤링),53.477,28.254,-0.648,-2.803,13.415,13.757,-1.949,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.893
언어→2 / 인문→2 / 생활→3,전문대만,공공(고용24),58.841,13.723,-0.794,3.29,8.639,4.071,32.408,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,4.288
언어→2 / 인문→2 / 생활→3,전문대만,민간(크롤링),58.841,28.254,-0.794,-9.602,2.832,5.947,21.808,13.106,-15.943,-9.574,0.04,-8.557,-0.056,2.083
언어→2 / 인문→2 / 생활→5,전체,공공(고용24),51.648,13.723,-0.539,8.406,16.713,10.953,10.259,11.292,-41.438,-2.403,-1.458,-11.483,-0.842,3.764
언어→2 / 인문→2 / 생활→5,전체,민간(크롤링),51.648,28.254,-0.539,-4.485,10.906,12.829,-0.341,8.569,-12.508,-7.292,0.784,-8.617,0.156,1.828
언어→2 / 인문→2 / 생활→5,4년제만,공공(고용24),50.956,13.723,-0.588,10.089,19.222,11.881,6.129,10.168,-42.352,-1.715,-1.236,-11.41,-0.777,3.713
언어→2 / 인문→2 / 생활→5,4년제만,민간(크롤링),50.956,28.254,-0.588,-2.803,13.415,13.757,-4.47,7.445,-13.422,-6.605,1.006,-8.544,0.221,1.803
언어→2 / 인문→2 / 생활→5,전문대만,공공(고용24),51.993,13.723,-0.661,3.29,8.639,4.071,25.561,15.829,-38.026,-4.685,-2.202,-11.422,-1.054,3.789
언어→2 / 인문→2 / 생활→5,전문대만,민간(크롤링),51.993,28.254,-0.661,-9.602,2.832,5.947,14.961,13.106,-9.095,-9.574,0.04,-8.557,-0.056,1.84
언어→4 / 인문→0 / 생활→0,전체,공공(고용24),42.538,13.723,-0.77,15.195,16.713,1.843,10.259,17.049,-44.873,-2.403,-1.458,-11.483,-0.842,3.1
언어→4 / 인문→0 / 생활→0,전체,민간(크롤링),42.538,28.254,-0.77,2.303,10.906,3.719,-0.341,14.326,-15.943,-7.292,0.784,-8.617,0.156,1.506
언어→4 / 인문→0 / 생활→0,4년제만,공공(고용24),39.691,13.723,-0.77,16.614,19.222,0.617,6.129,17.429,-44.873,-1.715,-1.236,-11.41,-0.777,2.892
언어→4 / 인문→0 / 생활→0,4년제만,민간(크롤링),39.691,28.254,-0.77,3.722,13.415,2.493,-4.47,14.706,-15.943,-6.605,1.006,-8.544,0.221,1.405
언어→4 / 인문→0 / 생활→0,전문대만,공공(고용24),50.167,13.723,-0.758,11.316,8.639,2.245,25.561,16.475,-44.873,-4.685,-2.202,-11.422,-1.054,3.656
언어→4 / 인문→0 / 생활→0,전문대만,민간(크롤링),50.167,28.254,-0.758,-1.575,2.832,4.121,14.961,13.752,-15.943,-9.574,0.04,-8.557,-0.056,1.776
언어→4 / 인문→0 / 생활→3,전체,공공(고용24),45.973,13.723,-0.77,11.759,16.713,1.843,13.694,17.049,-44.873,-2.403,-1.458,-11.483,-0.842,3.35
언어→4 / 인문→0 / 생활→3,전체,민간(크롤링),45.973,28.254,-0.77,-1.132,10.906,3.719,3.095,14.326,-15.943,-7.292,0.784,-8.617,0.156,1.627
언어→4 / 인문→0 / 생활→3,4년제만,공공(고용24),42.212,13.723,-0.77,14.093,19.222,0.617,8.65,17.429,-44.873,-1.715,-1.236,-11.41,-0.777,3.076
언어→4 / 인문→0 / 생활→3,4년제만,민간(크롤링),42.212,28.254,-0.77,1.201,13.415,2.493,-1.949,14.706,-15.943,-6.605,1.006,-8.544,0.221,1.494
언어→4 / 인문→0 / 생활→3,전문대만,공공(고용24),57.015,13.723,-0.794,4.469,8.639,2.245,32.408,16.475,-44.873,-4.685,-2.202,-11.422,-1.054,4.155
언어→4 / 인문→0 / 생활→3,전문대만,민간(크롤링),57.015,28.254,-0.794,-8.423,2.832,4.121,21.808,13.752,-15.943,-9.574,0.04,-8.557,-0.056,2.018
언어→4 / 인문→0 / 생활→5,전체,공공(고용24),42.538,13.723,-0.685,11.759,16.713,1.843,10.259,17.049,-41.438,-2.403,-1.458,-11.483,-0.842,3.1
언어→4 / 인문→0 / 생활→5,전체,민간(크롤링),42.538,28.254,-0.685,-1.132,10.906,3.719,-0.341,14.326,-12.508,-7.292,0.784,-8.617,0.156,1.506
언어→4 / 인문→0 / 생활→5,4년제만,공공(고용24),39.691,13.723,-0.685,14.093,19.222,0.617,6.129,17.429,-42.352,-1.715,-1.236,-11.41,-0.777,2.892
언어→4 / 인문→0 / 생활→5,4년제만,민간(크롤링),39.691,28.254,-0.685,1.201,13.415,2.493,-4.47,14.706,-13.422,-6.605,1.006,-8.544,0.221,1.405
언어→4 / 인문→0 / 생활→5,전문대만,공공(고용24),50.167,13.723,-0.661,4.469,8.639,2.245,25.561,16.475,-38.026,-4.685,-2.202,-11.422,-1.054,3.656
언어→4 / 인문→0 / 생활→5,전문대만,민간(크롤링),50.167,28.254,-0.661,-8.423,2.832,4.121,14.961,13.752,-9.095,-9.574,0.04,-8.557,-0.056,1.776
언어→4 / 인문→2 / 생활→0,전체,공공(고용24),45.891,13.723,-0.77,11.842,16.713,5.196,10.259,17.049,-44.873,-2.403,-1.458,-11.483,-0.842,3.344
언어→4 / 인문→2 / 생활→0,전체,민간(크롤링),45.891,28.254,-0.77,-1.05,10.906,7.072,-0.341,14.326,-15.943,-7.292,0.784,-8.617,0.156,1.624
언어→4 / 인문→2 / 생활→0,4년제만,공공(고용24),43.695,13.723,-0.721,12.61,19.222,4.62,6.129,17.429,-44.873,-1.715,-1.236,-11.41,-0.777,3.184
언어→4 / 인문→2 / 생활→0,4년제만,민간(크롤링),43.695,28.254,-0.721,-0.282,13.415,6.496,-4.47,14.706,-15.943,-6.605,1.006,-8.544,0.221,1.546
언어→4 / 인문→2 / 생활→0,전문대만,공공(고용24),51.347,13.723,-0.758,10.137,8.639,3.424,25.561,16.475,-44.873,-4.685,-2.202,-11.422,-1.054,3.742
언어→4 / 인문→2 / 생활→0,전문대만,민간(크롤링),51.347,28.254,-0.758,-2.755,2.832,5.3,14.961,13.752,-15.943,-9.574,0.04,-8.557,-0.056,1.817
언어→4 / 인문→2 / 생활→3,전체,공공(고용24),49.326,13.723,-0.77,8.406,16.713,5.196,13.694,17.049,-44.873,-2.403,-1.458,-11.483,-0.842,3.594
언어→4 / 인문→2 / 생활→3,전체,민간(크롤링),49.326,28.254,-0.77,-4.485,10.906,7.072,3.095,14.326,-15.943,-7.292,0.784,-8.617,0.156,1.746
언어→4 / 인문→2 / 생활→3,4년제만,공공(고용24),46.216,13.723,-0.745,10.089,19.222,4.62,8.65,17.429,-44.873,-1.715,-1.236,-11.41,-0.777,3.368
언어→4 / 인문→2 / 생활→3,4년제만,민간(크롤링),46.216,28.254,-0.745,-2.803,13.415,6.496,-1.949,14.706,-15.943,-6.605,1.006,-8.544,0.221,1.636
언어→4 / 인문→2 / 생활→3,전문대만,공공(고용24),58.194,13.723,-0.794,3.29,8.639,3.424,32.408,16.475,-44.873,-4.685,-2.202,-11.422,-1.054,4.241
언어→4 / 인문→2 / 생활→3,전문대만,민간(크롤링),58.194,28.254,-0.794,-9.602,2.832,5.3,21.808,13.752,-15.943,-9.574,0.04,-8.557,-0.056,2.06
언어→4 / 인문→2 / 생활→5,전체,공공(고용24),45.891,13.723,-0.685,8.406,16.713,5.196,10.259,17.049,-41.438,-2.403,-1.458,-11.483,-0.842,3.344
언어→4 / 인문→2 / 생활→5,전체,민간(크롤링),45.891,28.254,-0.685,-4.485,10.906,7.072,-0.341,14.326,-12.508,-7.292,0.784,-8.617,0.156,1.624
언어→4 / 인문→2 / 생활→5,4년제만,공공(고용24),43.695,13.723,-0.661,10.089,19.222,4.62,6.129,17.429,-42.352,-1.715,-1.236,-11.41,-0.777,3.184
언어→4 / 인문→2 / 생활→5,4년제만,민간(크롤링),43.695,28.254,-0.661,-2.803,13.415,6.496,-4.47,14.706,-13.422,-6.605,1.006,-8.544,0.221,1.546
언어→4 / 인문→2 / 생활→5,전문대만,공공(고용24),51.347,13.723,-0.661,3.29,8.639,3.424,25.561,16.475,-38.026,-4.685,-2.202,-11.422,-1.054,3.742
언어→4 / 인문→2 / 생활→5,전문대만,민간(크롤링),51.347,28.254,-0.661,-9.602,2.832,5.3,14.961,13.752,-9.095,-9.574,0.04,-8.557,-0.056,1.817
