연월,산업,시도,값
2025-08,보건업 및 사회복지 서비스업,대전,463
2025-08,보건업 및 사회복지 서비스업,울산,768
2025-08,보건업 및 사회복지 서비스업,세종시,114
2025-08,보건업 및 사회복지 서비스업,경기도,11211
2025-08,보건업 및 사회복지 서비스업,강원도,1033
2025-08,보건업 및 사회복지 서비스업,충청북도,728
2025-08,보건업 및 사회복지 서비스업,충청남도,855
2025-08,보건업 및 사회복지 서비스업,전라북도,1773
2025-08,보건업 및 사회복지 서비스업,전라남도,1165
2025-08,보건업 및 사회복지 서비스업,경상북도,2030
2025-08,보건업 및 사회복지 서비스업,경상남도,2416
2025-08,보건업 및 사회복지 서비스업,제주도,190
2025-08,"예술, 스포츠 및 여가관련 서비스업",전 체,785
2025-08,"예술, 스포츠 및 여가관련 서비스업",서울,133
2025-08,"예술, 스포츠 및 여가관련 서비스업",부산,17
2025-08,"예술, 스포츠 및 여가관련 서비스업",대구,18
2025-08,"예술, 스포츠 및 여가관련 서비스업",인천,53
2025-08,"예술, 스포츠 및 여가관련 서비스업",광주,30
2025-08,"예술, 스포츠 및 여가관련 서비스업",대전,30
2025-08,"예술, 스포츠 및 여가관련 서비스업",울산,10
2025-08,"예술, 스포츠 및 여가관련 서비스업",세종시,10
2025-08,"예술, 스포츠 및 여가관련 서비스업",경기도,170
2025-08,"예술, 스포츠 및 여가관련 서비스업",강원도,50
2025-08,"예술, 스포츠 및 여가관련 서비스업",충청북도,40
2025-08,"예술, 스포츠 및 여가관련 서비스업",충청남도,27
2025-08,"예술, 스포츠 및 여가관련 서비스업",전라북도,64
2025-08,"예술, 스포츠 및 여가관련 서비스업",전라남도,33
2025-08,"예술, 스포츠 및 여가관련 서비스업",경상북도,50
2025-08,"예술, 스포츠 및 여가관련 서비스업",경상남도,23
2025-08,"예술, 스포츠 및 여가관련 서비스업",제주도,27
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",전 체,2763
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",서울,472
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",부산,231
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",대구,119
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",인천,227
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",광주,41
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",대전,48
