직종코드,직종명,대분류코드,대분류명,부산공고수
824102,"전기용접원(아크,알곤,티그용접원)",8,설치·정비·생산,13
136102,네트워크 관리자(클라우딩컴퓨터운영관리자),1,연구·공학기술,12
511200,미용사,5,미용·여행·숙박·음식·경비·돌봄·청소,12
613101,자동차 영업원(자동차 딜러),6,영업·판매·운전·운송,12
873102,어패류(수산물) 가공기계 조작원,8,설치·정비·생산,12
013903,빌딩 관리소장,0,경영·사무·금융·보험,11
016300,제품 생산 관련 관리자,0,경영·사무·금융·보험,11
029302,통계·설문 조사원(슈퍼바이저 포함),0,경영·사무·금융·보험,11
031900,"기타 금융 및 보험 관련 전문가(금융 컨설턴트, PB 등)",0,경영·사무·금융·보험,11
135200,데이터 분석가(빅데이터 분석가),1,연구·공학기술,11
140203,건축시공 기술자(건축견적 포함),1,연구·공학기술,11
531804,사업체 구내식당 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,11
706000,건설 및 광업 단순 종사원,7,건설·채굴,11
813207,프레스기 및 절단기 조작원,8,설치·정비·생산,11
905300,어업 관련 단순 종사원,9,농림어업,11
026200,영업 및 마케팅 사무원,0,경영·사무·금융·보험,10
028400,자재관리 사무원,0,경영·사무·금융·보험,10
029904,사무 보조원(일반사업체),0,경영·사무·금융·보험,10
140206,건축안전·환경·품질·에너지관리 기술자,1,연구·공학기술,10
140303,토목시공 기술자(토목견적 포함),1,연구·공학기술,10
159100,제도사,1,연구·공학기술,10
307501,간호조무사(요양병원 제외),3,보건·의료,10
532201,호텔·레스토랑 웨이터·웨이트리스,5,미용·여행·숙박·음식·경비·돌봄·청소,10
612100,기술 영업원,6,영업·판매·운전·운송,10
813101,프레스 금형 제조원,8,설치·정비·생산,10
813209,금속절곡기 조작원(밴딩기 조작원),8,설치·정비·생산,10
813213,기타 금속공작기계 조작원 및 보조원,8,설치·정비·생산,10
028402,자재·구매 사무원(기계·자동차·금속),0,경영·사무·금융·보험,9
029213,부동산 중개 보조 사무원,0,경영·사무·금융·보험,9
155700,산업보건 및 산업환경 관리 기술자,1,연구·공학기술,9
531200,한식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,9
624102,배송·납품 운전원(납품영업 포함),6,영업·판매·운전·운송,9
816200,기계 부품 조립원,8,설치·정비·생산,9
822301,제관원,8,설치·정비·생산,9
834000,전기 및 전자설비 조작원,8,설치·정비·생산,9
890002,단순 사상원(용접사상 제외-용접원구분),8,설치·정비·생산,9
015101,영업 관리자(영업소장·지점장),0,경영·사무·금융·보험,8
016301,기계·금속·비금속 제조 관리자(공장장),0,경영·사무·금융·보험,8
027204,경리 사무원(제조),0,경영·사무·금융·보험,8
027205,경리 사무원(회계·세무 사무소),0,경영·사무·금융·보험,8
029204,고객 상담원(금융·보험·부동산),0,경영·사무·금융·보험,8
151106,조선·해양공학 기술자 및 연구원,1,연구·공학기술,8
214701,미술 강사,2,교육·법률·사회복지·경찰·소방·군인,8
307902,산후조리 종사원(산모 도우미),3,보건·의료,8
511300,네일 관리사(손톱 관리사),5,미용·여행·숙박·음식·경비·돌봄·청소,8
561400,재활용품 및 쓰레기 수거원,5,미용·여행·숙박·음식·경비·돌봄·청소,8
624500,하역 및 적재 단순 종사원,6,영업·판매·운전·운송,8
624501,하역·적재 종사원,6,영업·판매·운전·운송,8
811206,기타 공업기계 설치·정비원,8,설치·정비·생산,8
813204,범용 밀링기조작원,8,설치·정비·생산,8
817200,자동차 부품 조립원(검사원 포함),8,설치·정비·생산,8
824107,용접 사상원 및 보조원,8,설치·정비·생산,8
022100,"경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)",0,경영·사무·금융·보험,7
026300,인사 및 노무 사무원,0,경영·사무·금융·보험,7
028900,기타 운송 및 무역 사무원,0,경영·사무·금융·보험,7
032300,보험 심사원 및 사무원,0,경영·사무·금융·보험,7
133200,응용 소프트웨어 개발자,1,연구·공학기술,7
140100,건축가(건축설계 포함),1,연구·공학기술,7
140201,건축 현장소장,1,연구·공학기술,7
153300,전자공학 기술자 및 연구원,1,연구·공학기술,7
158302,비파괴 검사원,1,연구·공학기술,7
213000,유치원 교사,2,교육·법률·사회복지·경찰·소방·군인,7
214204,과학 강사,2,교육·법률·사회복지·경찰·소방·군인,7
232902,아동 생활지도원,2,교육·법률·사회복지·경찰·소방·군인,7
232904,그 외 사회복지 종사원,2,교육·법률·사회복지·경찰·소방·군인,7
306800,언어 및 청각능력 재활사,3,보건·의료,7
415100,제품 디자이너,4,예술·디자인·방송·스포츠,7
512102,웨딩 플래너,5,미용·여행·숙박·음식·경비·돌봄·청소,7
542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,7
862301,재봉사(의류·직물),8,설치·정비·생산,7
016100,건설 및 광업 관련 관리자(부서장),0,경영·사무·금융·보험,6
028406,자재·구매 사무원(일반 사업체),0,경영·사무·금융·보험,6
029100,안내·접수원 및 전화교환원,0,경영·사무·금융·보험,6
140400,조경 기술자,1,연구·공학기술,6
159104,전기·전자 장비 제도사(캐드원),1,연구·공학기술,6
214103,일본어 강사,2,교육·법률·사회복지·경찰·소방·군인,6
232200,보육 관련 시설 돌봄 종사원,2,교육·법률·사회복지·경찰·소방·군인,6
307903,기타 보건·의료 서비스 종사원,3,보건·의료,6
415401,광고디자이너,4,예술·디자인·방송·스포츠,6
416600,영상·녹화 및 편집 기사,4,예술·디자인·방송·스포츠,6
420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,4,예술·디자인·방송·스포츠,6
531100,주방장 및 요리 연구가(푸드코디네이터 포함),5,미용·여행·숙박·음식·경비·돌봄·청소,6
541100,경호원,5,미용·여행·숙박·음식·경비·돌봄·청소,6
612201,해외 영업원(영어),6,영업·판매·운전·운송,6
617901,매장 정리원(매장 보조원),6,영업·판매·운전·운송,6
702900,기타 건축 마감 관련 기능 종사원,7,건설·채굴,6
706002,건설·채굴 단순 종사원,7,건설·채굴,6
813104,캐드캠 기능원,8,설치·정비·생산,6
813212,레이저 절단원,8,설치·정비·생산,6
852402,플라스틱제품 조립원 및 검사원,8,설치·정비·생산,6
013500,사회복지 관련 관리자(부서장),0,경영·사무·금융·보험,5
014300,환경·청소 및 경비 관련 관리자,0,경영·사무·금융·보험,5
027103,회계 사무원(일반 사업체),0,경영·사무·금융·보험,5
027203,경리 사무원(건설),0,경영·사무·금융·보험,5
027206,경리 사무원(일반사업체),0,경영·사무·금융·보험,5
032502,신용 추심원(채권 관리원),0,경영·사무·금융·보험,5
153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",1,연구·공학기술,5
214102,중국어 강사,2,교육·법률·사회복지·경찰·소방·군인,5
221200,변호사,2,교육·법률·사회복지·경찰·소방·군인,5
