통합키,정답코드,정답명,예측코드,근거,확실도,매칭토큰,정답13분류,예측13분류,추정코드,추정근거
KR2026090700028915,232100,보육교사,232100,학습사전,중,어린이집교사,03,03,,
KR2026090700037898,232902,아동 생활지도원,232902,별칭일치,강,아동생활지도원,03,03,,
KR2026090700038231,813207,프레스기 및 절단기 조작원,813207,별칭일치,강,프레스기및절단기조작원,10,10,,
KR2026090700038060,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700029521,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700037688,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700142383,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700038289,028502,생산관리 사무원(기계·자동차·금속),8,상위합의,약,도장,01,10,,사전(학습) 「도장」 — 정답 24건 중 16건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700015572,821200,금속가공 기계 조작원,8,상위합의,약,가공,10,10,,사전(학습) 「가공」 — 정답 214건 중 183건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030103,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037644,306400,치과위생사,306400,별칭일치,강,치과위생사,04,04,,
KR2026090700029768,822301,제관원,822301,별칭일치,강,제관원,10,10,,
KR2026090700037501,232904,그 외 사회복지 종사원,8,상위합의,약,포장,03,10,,사전(학습) 「포장」 — 정답 142건 중 114건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700026520,823200,단조기 조작원,823200,별칭일치,강,단조기조작원,10,10,,
KR2026090700030810,521200,여행 사무원,521200,별칭일치,강,여행사무원,06,06,,
KR2026090700028798,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700022711,531901,분식 조리사,5,상위합의,약,주방,06,06,532300,사전(수동) 「주방」 — 주방 보조원
KR2026090700031110,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700017623,813213,기타 금속공작기계 조작원 및 보조원,8,상위합의,약,cnc선반,10,10,,사전(학습) 「cnc선반」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700016621,531900,기타 조리사,5,상위합의,약,조리,06,06,532300,사전(수동) 「주방」 — 주방 보조원
KR2026090700030664,532300,주방 보조원,5,상위합의,약,조리,06,06,532300,사전(수동) 「주방보조」 — 주방 보조원
KR2026090700142678,861201,제직기(직조기) 조작원,8,상위합의,약,제직기,12,12,,후보 표결 — 지지 후보들의 13대분류가 12 로 모였다
KR2026090700035680,624500,하역 및 적재 단순 종사원,5,상위합의,약,유통,08,06,,사전(수동) 「출고」 — 하역·적재 — 운송 관련
KR2026090700022017,561100,건물 청소원,5,상위합의,약,청소,06,06,,사전(학습) 「청소」 — 정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700038285,542000,건물 관리원,1,상위합의,약,소방,06,02,,사전(학습) 「소방」 — 정답 33건 중 20건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700037756,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700024015,813207,프레스기 및 절단기 조작원,813207,학습사전,중,유압프레스조작원,10,10,,
KR2026090700015959,890006,식품 분야 단순 종사원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700028748,813201,CNC 선반 조작원(NC 선반 조작원),813201,별칭일치,강,cnc선반조작원,10,10,,
KR2026090700038264,159103,기계·금속 제도사(캐드원),159101,별칭일치,강,캐드원,02,02,,
KR2026090700021378,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700142204,231400,직업 관련 상담사,231100,별칭일치,강,사회복지사,03,03,,
