사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
자소설닷컴,중앙대학교병원,(광명병원) 병리과 보건의료정보관리사(사무직) (계약직) 모집 (2026.04),사무-병리과,계약직,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103490,,2026-09-07 18:30:15
자소설닷컴,아키타입컴퍼니(BAT),[인턴] Growth Business Developer (정규직 전환형),Growth Business Developer,인턴,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103491,,2026-09-07 18:30:15
자소설닷컴,페이히어,[핀테크 스타트업] 영업 관리 어시스턴트 인턴 채용,영업 관리 어시스턴트,인턴,상시채용,,,2026-05-11,https://jasoseol.com/recruit/103492,,2026-09-07 18:30:16
자소설닷컴,페이히어,[핀테크 스타트업] 인바운드 세일즈 스페셜리스트 인턴 채용,인바운드 세일즈 스페셜리스트,인턴,상시채용,,,2026-04-13,https://jasoseol.com/recruit/103493,,2026-09-07 18:30:16
자소설닷컴,페이히어,[핀테크 스타트업] 프로덕트 세일즈 스페셜리스트 인턴 채용,세일즈 스페셜리스트,인턴,상시채용,,,2026-04-13,https://jasoseol.com/recruit/103494,,2026-09-07 18:30:17
자소설닷컴,토스페이먼츠,Product Design Assistant,디자이너,계약직,상시채용,,,2026-04-28,https://jasoseol.com/recruit/103496,,2026-09-07 18:30:17
자소설닷컴,마이다스그룹,Risk Management 담당자(사내 변호사) 채용,경영분야-사내변호사,코드5,수시채용,,,2026-04-19,https://jasoseol.com/recruit/103495,,2026-09-07 18:30:18
자소설닷컴,어니스트리,영상 PD,영상 PD,계약직,수시채용,,,2026-04-14,https://jasoseol.com/recruit/103498,,2026-09-07 18:30:18
자소설닷컴,어니스트리,브랜드 컨텐츠 디자이너,브랜드 컨텐츠 디자이너,코드5,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103497,,2026-09-07 18:30:18
자소설닷컴,한국AX산업협회,2026년도 서울시 매력일자리 사업 AI agent 기반 실무형 개발자 양성과정 참여자 모집,AI agent 기반 실무형 개발자 양성과정,교육,수시채용,,,2026-04-20,https://jasoseol.com/recruit/103500,,2026-09-07 18:30:18
