대분류코드,대분류명,중분류코드,소분류코드,직종코드,직종명,부산공고수(자동분류분)
1,연구·공학기술,13,131,131200,통신공학 기술자 및 연구원,
1,연구·공학기술,13,131,131201,통신기기·장비 개발자 및 연구원,
1,연구·공학기술,13,131,131202,통신기술 개발자 및 통신망 운영 기술자,
1,연구·공학기술,13,131,131203,통신공사 감리 기술자,
1,연구·공학기술,13,132,132000,컴퓨터시스템 전문가,
1,연구·공학기술,13,132,132001,IT 컨설턴트,
1,연구·공학기술,13,132,132002,컴퓨터시스템 설계 및 분석가,1
1,연구·공학기술,13,132,132003,IT 감리 전문가(시스템 감리),
1,연구·공학기술,13,133,133100,시스템 소프트웨어 개발자,2
1,연구·공학기술,13,133,133101,시스템 소프트웨어 개발자(프로그래머),26
1,연구·공학기술,13,133,133102,펌웨어 및 임베디드 소프트웨어 프로그래머,
1,연구·공학기술,13,133,133200,응용 소프트웨어 개발자,6
1,연구·공학기술,13,133,133201,JAVA 프로그래밍 언어 전문가,
1,연구·공학기술,13,133,133202,C언어 및 그 외 프로그래밍 언어 전문가,
1,연구·공학기술,13,133,133203,"범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)",
1,연구·공학기술,13,133,133204,"산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)",1
1,연구·공학기술,13,133,133205,네트워크 프로그래머,
1,연구·공학기술,13,133,133206,게임 프로그래머,1
1,연구·공학기술,13,133,133207,모바일 애플리케이션 프로그래머(앱·어플 개발),
1,연구·공학기술,13,133,133300,웹 개발자,4
1,연구·공학기술,13,133,133301,웹 개발자(웹 엔지니어·웹 프로그래머),2
1,연구·공학기술,13,133,133302,웹 기획자,
1,연구·공학기술,13,133,133900,기타 컴퓨터 시스템 및 소프트웨어 전문가(IT 테스터 및 IT QA 전문가 등),
1,연구·공학기술,13,134,134100,네트워크 시스템 개발자,2
1,연구·공학기술,13,134,134200,정보보안 전문가,
1,연구·공학기술,13,134,134201,정보보호 전문가,
1,연구·공학기술,13,134,134202,침해사고 대응 전문가,
1,연구·공학기술,13,134,134900,기타 네트워크 및 정보 보안 전문가(디지털 포렌식 전문가 등),
1,연구·공학기술,13,135,135100,데이터 시스템 전문가,
1,연구·공학기술,13,135,135101,데이터 설계 및 프로그래머,4
1,연구·공학기술,13,135,135102,데이터베이스 운영·관리자,2
1,연구·공학기술,13,135,135200,데이터 분석가(빅데이터 분석가),11
1,연구·공학기술,13,136,136101,정보시스템 운영자,2
1,연구·공학기술,13,136,136102,네트워크 관리자(클라우딩컴퓨터운영관리자),4
1,연구·공학기술,13,136,136103,IT 기술지원 전문가,
1,연구·공학기술,13,136,136200,웹 운영자(홈페이지 관리자),26
1,연구·공학기술,13,137,137000,통신 및 방송 송출 장비 기사,
1,연구·공학기술,14,140,140100,건축가(건축설계 포함),7
1,연구·공학기술,14,140,140200,건축공학 기술자,1
1,연구·공학기술,14,140,140201,건축 현장소장,6
1,연구·공학기술,14,140,140202,건축구조 기술자,2
1,연구·공학기술,14,140,140203,건축시공 기술자(건축견적 포함),11
1,연구·공학기술,14,140,140204,건축설비 기술자,2
1,연구·공학기술,14,140,140205,건축감리 기술자,
1,연구·공학기술,14,140,140206,건축안전·환경·품질·에너지관리 기술자,10
1,연구·공학기술,14,140,140300,토목공학 기술자,4
1,연구·공학기술,14,140,140301,토목 현장소장,1
1,연구·공학기술,14,140,140302,토목구조 설계 기술자,1
1,연구·공학기술,14,140,140303,토목시공 기술자(토목견적 포함),10
1,연구·공학기술,14,140,140304,토목감리 기술자,2
1,연구·공학기술,14,140,140305,토목안전·환경·품질 기술자,2
1,연구·공학기술,14,140,140400,조경 기술자,6
1,연구·공학기술,14,140,140500,도시 및 교통 관련 전문가,
1,연구·공학기술,14,140,140501,도시 계획·설계가,1
1,연구·공학기술,14,140,140502,교통 계획·설계·안전·영향평가 전문가,
1,연구·공학기술,14,140,140600,측량 및 공간정보 전문가,
1,연구·공학기술,14,140,140601,측량사,
1,연구·공학기술,14,140,140602,지도제작 및 공간정보시스템 전문가,
1,연구·공학기술,14,140,140700,건설자재 시험원,2
1,연구·공학기술,15,151,151100,기계공학 기술자 및 연구원,11
1,연구·공학기술,15,151,151101,산업기계공학 기술자 및 연구원,2
1,연구·공학기술,15,151,151102,건설기계공학 기술자 및 연구원,
1,연구·공학기술,15,151,151103,금형공학 기술자 및 연구원,
1,연구·공학기술,15,151,151104,플랜트공학 기술자 및 연구원,1
1,연구·공학기술,15,151,151105,냉난방·공조공학 기술자 및 연구원,1
1,연구·공학기술,15,151,151106,조선·해양공학 기술자 및 연구원,7
1,연구·공학기술,15,151,151107,항공기·철도차량 공학 기술자 및 연구원,
1,연구·공학기술,15,151,151108,자동차공학 기술자 및 연구원,
1,연구·공학기술,15,151,151109,기타 기계공학 기술자 및 연구원,
1,연구·공학기술,15,151,151110,기계감리 기술자,
1,연구·공학기술,15,151,151200,로봇공학 기술자 및 연구원,2
1,연구·공학기술,15,151,151300,기계 및 로봇공학 시험원,2
1,연구·공학기술,15,152,152100,금속·재료공학 기술자 및 연구원,
1,연구·공학기술,15,152,152200,금속 및 재료공학 시험원,
1,연구·공학기술,15,153,153100,전기공학 기술자 및 연구원,2
1,연구·공학기술,15,153,153101,전기기기·제품 개발 기술자 및 연구원,1
1,연구·공학기술,15,153,153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",2
1,연구·공학기술,15,153,153103,발전설비 기술자,1
1,연구·공학기술,15,153,153104,송·배전설비 기술자,
1,연구·공학기술,15,153,153105,전기공사 기술자(전기견적 포함),12
1,연구·공학기술,15,153,153106,전기감리 기술자,1
1,연구·공학기술,15,153,153107,전기안전 기술자,1
