직종코드,직종명,대분류코드,대분류명,중분류코드,소분류코드,세분류코드,work24_13대분류코드,work24_13대분류명,work24_114중분류코드,work24_114중분류명,부모중복
029207,고객 상담원(백화점·마트),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029208,고객 상담원(인터넷·통신),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029209,고객 상담원(A/S·고장·제품사용),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029210,병원 코디네이터,0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,Y
029211,모니터 요원,0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029212,취업 알선원,0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,Y
029213,부동산 중개 보조 사무원,0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029300,통계‧데이터 관련 사무원,0,경영·사무·금융·보험,02,029,0293,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029301,통계 사무원,0,경영·사무·금융·보험,02,029,0293,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029302,통계·설문 조사원(슈퍼바이저 포함),0,경영·사무·금융·보험,02,029,0293,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029400,비서,0,경영·사무·금융·보험,02,029,0294,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029500,전산 자료 입력원,0,경영·사무·금융·보험,02,029,0295,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029501,전산자료 입력원(DB·단순자료),0,경영·사무·금융·보험,02,029,0295,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029502,전산자료 입력원(약국·판매·대리점),0,경영·사무·금융·보험,02,029,0295,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029503,홈페이지 자료관리원(정보검색 포함),0,경영·사무·금융·보험,02,029,0295,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029504,HTML 코더,0,경영·사무·금융·보험,02,029,0295,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029600,속기사,0,경영·사무·금융·보험,02,029,0296,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029700,자원봉사 관리원,0,경영·사무·금융·보험,02,029,0297,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029900,기타 사무 지원 종사원,0,경영·사무·금융·보험,02,029,0299,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029901,도서 정리원,0,경영·사무·금융·보험,02,029,0299,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029902,출판·자료 편집 사무원,0,경영·사무·금융·보험,02,029,0299,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,Y
029903,사무 보조원(공공기관),0,경영·사무·금융·보험,02,029,0299,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
029904,사무 보조원(일반사업체),0,경영·사무·금융·보험,02,029,0299,01,경영·사무·금융·보험,01B,통계·비서·사무보조·기타 사무,N
031100,투자 및 신용 분석가(애널리스트),0,경영·사무·금융·보험,03,031,0311,01,경영·사무·금융·보험,01C,금융·보험 전문가,N
031200,자산 운용가(펀드매니저),0,경영·사무·금융·보험,03,031,0312,01,경영·사무·금융·보험,01C,금융·보험 전문가,N
031300,금융 및 보험 상품 개발자,0,경영·사무·금융·보험,03,031,0313,01,경영·사무·금융·보험,01C,금융·보험 전문가,N
031400,증권 및 외환 딜러,0,경영·사무·금융·보험,03,031,0314,01,경영·사무·금융·보험,01C,금융·보험 전문가,N
031500,손해 사정사,0,경영·사무·금융·보험,03,031,0315,01,경영·사무·금융·보험,01C,금융·보험 전문가,N
031900,"기타 금융 및 보험 관련 전문가(금융 컨설턴트, PB 등)",0,경영·사무·금융·보험,03,031,0319,01,경영·사무·금융·보험,01C,금융·보험 전문가,N
