jobsCd,jobsNm,superCd,depth
132001,IT 컨설턴트,023,3
132002,컴퓨터시스템 설계 및 분석가,023,3
132003,IT 감리 전문가(시스템 감리),023,3
024,소프트웨어,02,2
133100,시스템 소프트웨어 개발자,024,3
133101,시스템 소프트웨어 개발자(프로그래머),024,3
133102,펌웨어 및 임베디드 소프트웨어 프로그래머,024,3
133200,응용 소프트웨어 개발자,024,3
133201,JAVA 프로그래밍 언어 전문가,024,3
133202,C언어 및 그 외 프로그래밍 언어 전문가,024,3
133203,"범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)",024,3
133204,"산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)",024,3
133205,네트워크 프로그래머,024,3
133206,게임 프로그래머,024,3
133207,모바일 애플리케이션 프로그래머(앱·어플 개발),024,3
133300,웹 개발자,024,3
133301,웹 개발자(웹 엔지니어·웹 프로그래머),024,3
133302,웹 기획자,024,3
133900,기타 컴퓨터 시스템 및 소프트웨어 전문가(IT 테스터 및 IT QA 전문가 등),024,3
025,네트워크 시스템 및 정보보안,02,2
134100,네트워크 시스템 개발자,025,3
134200,정보보안 전문가,025,3
134201,정보보호 전문가,025,3
134202,침해사고 대응 전문가,025,3
134900,기타 네트워크 및 정보 보안 전문가(디지털 포렌식 전문가 등),025,3
026,데이터 및 정보시스템·웹 운영,02,2
135100,데이터 시스템 전문가,026,3
135101,데이터 설계 및 프로그래머,026,3
135102,데이터베이스 운영·관리자,026,3
135200,데이터 분석가(빅데이터 분석가),026,3
136101,정보시스템 운영자,026,3
136102,네트워크 관리자(클라우딩컴퓨터운영관리자),026,3
136103,IT 기술지원 전문가,026,3
136200,웹 운영자(홈페이지 관리자),026,3
027,통신·방송 송출,02,2
137000,통신 및 방송 송출 장비 기사,027,3
028,건설·채굴 연구 및 공학기술,02,2
140100,건축가(건축설계 포함),028,3
140200,건축공학 기술자,028,3
140201,건축 현장소장,028,3
140202,건축구조 기술자,028,3
140203,건축시공 기술자(건축견적 포함),028,3
140204,건축설비 기술자,028,3
140205,건축감리 기술자,028,3
140206,건축안전·환경·품질·에너지관리 기술자,028,3
140300,토목공학 기술자,028,3
140301,토목 현장소장,028,3
140302,토목구조 설계 기술자,028,3
140303,토목시공 기술자(토목견적 포함),028,3
140304,토목감리 기술자,028,3
140305,토목안전·환경·품질 기술자,028,3
140400,조경 기술자,028,3
140500,도시 및 교통 관련 전문가,028,3
140501,도시 계획·설계가,028,3
140502,교통 계획·설계·안전·영향평가 전문가,028,3
140600,측량 및 공간정보 전문가,028,3
140601,측량사,028,3
140602,지도제작 및 공간정보시스템 전문가,028,3
140700,건설자재 시험원,028,3
029,기계·로봇·금속·재료 연구 및 공학기술,02,2
151100,기계공학 기술자 및 연구원,029,3
151101,산업기계공학 기술자 및 연구원,029,3
151102,건설기계공학 기술자 및 연구원,029,3
151103,금형공학 기술자 및 연구원,029,3
151104,플랜트공학 기술자 및 연구원,029,3
151105,냉난방·공조공학 기술자 및 연구원,029,3
151106,조선·해양공학 기술자 및 연구원,029,3
151107,항공기·철도차량 공학 기술자 및 연구원,029,3
151108,자동차공학 기술자 및 연구원,029,3
