사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력,급여,지역표기,출처
잡코리아부산,의료법인 인당의료재단 구표부민병원,병동 3교대 교대근무 간호사,병동간호사,경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949611?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949611,2026-09-08 14:58:37,대졸↑,"4,000만원 이상",부산 북구,jobkorea
잡코리아부산,㈜우연,수산물 납품.손질 정규직 모집-신입 가능함,"배송, 배송기사",신입·경력,,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49949584?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949584,2026-09-08 14:58:37,학력무관,"26,000~43,200만원",부산 사하구,jobkorea
잡코리아부산,진성물류주식회사,1톤배송/월380완제/평일근무/부산센터-마산창원진해/주말국경일휴무,,경력무관,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49949578?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949578,2026-09-08 14:58:37,학력무관,380~400만원(월),부산 사상구,jobkorea
잡코리아부산,아사도,해운대 아사도 우드파이어 주방 팀원 채용,"양식, 양식당",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949574?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949574,2026-09-08 14:58:37,학력무관,250~280만원(월),부산 해운대구,jobkorea
잡코리아부산,㈜더반,부산 해운대 더반호텔 프론트 신입사원 채용.,"관광, 프론트, 호텔, 호텔리어, 호텔리어, 해운대 호텔, 호텔사무, 호텔 프론트, 프론트, 컨시어지, 호텔, 부산 호텔, 승무원, 호텔프론트, 객실관리, 카운터, 프런트",경력무관,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49949488?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949488,2026-09-08 14:58:37,고졸↑,,부산 해운대구,jobkorea
잡코리아부산,㈜해금이엔지,(신설) 주간보호센터에서 사회복지사 선생님을 모십니다,노인복지,경력무관,정규직,부산,,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49949449?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949449,2026-09-08 14:58:37,학력무관,216만원 이상(월),부산 영도구,jobkorea
잡코리아부산,㈜우주파트너스,케니스테이 [부산 기장 지점 지점장],"호텔리어, 호텔사무, 호텔, 프런트",경력1년↑,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949431?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949431,2026-09-08 14:58:37,학력무관,"4,000만원 이상",부산 기장군,jobkorea
잡코리아부산,고신대학교산학협력단,고신대학교 산학협력단 계약직 직원 채용 재공고,"행정, R&D, 대학교",경력무관,계약직,부산,,2026-09-21,https://www.jobkorea.co.kr/Recruit/GI_Read/49949363?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949363,2026-09-08 14:58:37,대졸↑,"2,640만원 이상",부산 영도구,jobkorea
잡코리아부산,제이에스테크,"국방부,삼성중공업,한화오션1차 밴더 화재감시 및 신호수사원모집","제련, 조선, 선박, 제강, 철강",경력무관,정규직,부산,,2026-09-20,https://www.jobkorea.co.kr/Recruit/GI_Read/49949317?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949317,2026-09-08 14:58:37,학력무관,"2,600~2,650만원",부산 강서구,jobkorea
잡코리아부산,㈜교원구몬,[아이들과소통하실분]주2-3일/학습코칭매니저/신입가능/부산지역,"영어, 중고등학교, 어린이집, 놀이방, 학습지교사, 과외교사, 영어, 방문교사, 보육교사, 학습지, 초등학교, 방과후교사, 유아교육, 유치원, 일본어, 방문교사, 일본어",경력무관,,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949315?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949315,2026-09-08 14:58:37,초대졸↑,"2,590~2,600만원",부산 동구,jobkorea
