토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
시설경비,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
어머,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
아버,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
기계조작원,,,12,재료·화학·섬유·가스·에너지·환경관련직,학습,50%,2,정답 2건 중 1건이 12 재료·화학·섬유·가스·에너지·환경관련직 — 세세분류는 흩어진다
생산부,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
개발팀,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
밸브가공원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
생산직cnc조작원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
치매교육이수자,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,50%,2,정답 2건 중 1건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
운전수당별도지급,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
전표정리원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
주간보호센터요양보호사선생님,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
